                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.41941,                 0.3733,                0.92399,                0.98284,                      1,                  0.995,                0.84187,                0.70026,                0.30443,                 1.3354,                 0.0991,                 0.0001,                 0.0001
                      1,                0.41586,                0.35161,                0.90831,                0.98408,                      1,                  0.995,                0.84677,                0.70085,                0.30428,                 1.3358,               0.097299,             0.00029851,             0.00029851
                      2,                0.36126,                0.34105,                0.88432,                0.98229,                      1,                  0.995,                0.84333,                0.70082,                0.30456,                 1.3366,               0.095495,             0.00049505,             0.00049505
                      3,                0.37366,                0.27946,                0.87607,                0.97838,                      1,                  0.995,                 0.8514,                0.70589,                0.31822,                 1.3504,                0.09369,              0.0006896,              0.0006896
                      4,                0.35507,                0.28872,                 0.9062,                0.96634,                      1,                  0.995,                0.85769,                0.70976,                0.34142,                  1.358,               0.091882,             0.00088218,             0.00088218
                      5,                0.36804,                0.29519,                0.89378,                0.95537,                      1,                  0.995,                0.84425,                0.72341,                0.36272,                 1.3534,               0.090073,              0.0010728,              0.0010728
                      6,                0.38739,                0.27412,                0.89601,                0.95453,                      1,                  0.995,                0.84377,                0.71312,                0.34707,                 1.3557,               0.088261,              0.0012614,              0.0012614
                      7,                0.33636,                0.26732,                0.88834,                 0.9515,                      1,                  0.995,                0.84831,                0.70687,                0.34814,                  1.357,               0.086448,               0.001448,               0.001448
                      8,                0.38571,                0.25188,                0.88145,                0.94767,                      1,                  0.995,                 0.8461,                0.69728,                0.34864,                 1.3559,               0.084633,              0.0016327,              0.0016327
                      9,                0.37575,                0.28105,                0.85776,                0.98921,                      1,                  0.995,                0.85252,                0.69633,                 0.3281,                 1.3418,               0.082815,              0.0018154,              0.0018154
                     10,                0.33415,                 0.2672,                0.88335,                      1,                0.98057,                  0.995,                0.84488,                0.67962,                0.30548,                 1.3117,               0.080996,               0.001996,               0.001996
                     11,                0.38051,                0.27017,                0.87051,                0.99974,                      1,                  0.995,                0.85887,                0.67646,                0.30476,                 1.2964,               0.079175,              0.0021748,              0.0021748
                     12,                0.34169,                0.25676,                0.85587,                0.99496,                      1,                  0.995,                0.86694,                0.66376,                0.28715,                  1.301,               0.077352,              0.0023515,              0.0023515
                     13,                0.38499,                0.28407,                0.90178,                0.99806,                      1,                  0.995,                0.85272,                0.66968,                0.30272,                 1.3047,               0.075526,              0.0025263,              0.0025263
                     14,                0.35753,                0.24874,                0.87577,                0.99191,                      1,                  0.995,                0.82862,                0.67996,                0.29047,                 1.3315,               0.073699,               0.002699,               0.002699
                     15,                0.33085,                0.26997,                0.85722,                0.99105,                      1,                  0.995,                0.83176,                0.67988,                0.30724,                 1.3397,                0.07187,              0.0028698,              0.0028698
                     16,                0.35531,                0.28285,                0.85188,                0.99071,                      1,                  0.995,                0.84381,                0.66777,                0.30779,                 1.3408,               0.070039,              0.0030386,              0.0030386
                     17,                0.35106,                0.28122,                0.88652,                0.99454,                      1,                  0.995,                0.85042,                0.68362,                0.28897,                 1.3451,               0.068205,              0.0032055,              0.0032055
                     18,                0.40757,                0.30187,                0.88913,                0.99581,                      1,                  0.995,                0.82198,                0.71753,                0.29204,                 1.3557,                0.06637,              0.0033703,              0.0033703
                     19,                0.32998,                0.26692,                0.86292,                0.99624,                      1,                  0.995,                0.81982,                0.72843,                0.31406,                 1.3487,               0.064533,              0.0035332,              0.0035332
                     20,                0.37334,                0.29537,                0.89552,                0.99621,                      1,                  0.995,                0.82955,                0.73048,                0.31251,                 1.3318,               0.062694,              0.0036941,              0.0036941
                     21,                0.36764,                0.27697,                0.88776,                 0.9963,                      1,                  0.995,                0.83033,                0.75199,                 0.3312,                 1.3373,               0.060853,               0.003853,               0.003853
                     22,                0.42605,                0.32594,                0.88155,                0.99602,                      1,                  0.995,                0.84301,                0.75853,                0.32854,                 1.3342,                0.05901,              0.0040099,              0.0040099
                     23,                0.38722,                0.29796,                0.87316,                0.99622,                      1,                  0.995,                0.85043,                0.71535,                0.32082,                 1.3139,               0.057165,              0.0041649,              0.0041649
                     24,                0.38764,                 0.2949,                0.89057,                      1,                 0.9941,                  0.995,                0.83817,                0.72183,                0.36315,                 1.3044,               0.055318,              0.0043179,              0.0043179
                     25,                 0.3775,                0.28314,                0.85182,                      1,                0.99756,                  0.995,                0.84791,                0.75013,                0.39992,                 1.3012,               0.053469,              0.0044689,              0.0044689
                     26,                0.42928,                0.34974,                0.87263,                      1,                0.94283,                0.99045,                0.83219,                 0.7323,                0.37366,                 1.2842,               0.051618,              0.0046179,              0.0046179
                     27,                0.41131,                0.32611,                 0.8963,                0.99763,                      1,                  0.995,                0.84032,                0.75534,                0.33847,                 1.2962,               0.049765,              0.0047649,              0.0047649
                     28,                0.38558,                0.30121,                0.88104,                0.99662,                      1,                  0.995,                0.85343,                0.72898,                0.35252,                 1.3063,                0.04791,                0.00491,                0.00491
                     29,                0.44735,                0.32974,                0.88948,                0.99583,                      1,                  0.995,                0.83245,                0.74873,                0.31936,                 1.3331,               0.046053,              0.0050531,              0.0050531
